Control,Status,Risk Score,Department,Owner,Created Date,Resolved Date,Framework,Control Description,Evidence,SLA Days,Access Type,MTTR Days
C0452,Failed,9,Operations,John,2025-02-09,2025-03-03,NIST,Firewall Configuration,log_patch_001.pdf,7,Application,22.0
C0453,Completed,7,IT,Susan,2025-03-14,2025-03-29,NIST,Vulnerability Scan,firewall_config.png,14,Database,15.0
C0454,In Progress,4,IT,Brian,2025-03-17,,PCI-DSS,Vulnerability Scan,access_review.xlsx,14,Database,
C0455,Completed,1,IT,Jane,2025-03-31,2025-04-21,HIPAA,Encryption Control,firewall_config.png,14,Database,21.0
C0456,Completed,2,Finance,Susan,2025-03-14,2025-03-20,NIST,Encryption Control,firewall_config.png,30,Admin System,6.0
C0457,Completed,5,Risk,Jane,2025-01-10,2025-01-29,NIST,Firewall Configuration,firewall_config.png,7,Admin System,19.0
C0458,Completed,5,Finance,David,2025-02-17,2025-03-07,HIPAA,Incident Response,firewall_config.png,7,Admin System,18.0
C0459,Completed,8,Finance,Alice,2025-01-20,2025-01-26,HIPAA,Encryption Control,access_review.xlsx,14,Admin System,6.0
C0460,Completed,6,IT,Alice,2025-02-08,2025-02-21,HIPAA,Vulnerability Scan,log_patch_001.pdf,7,Database,13.0
C0461,Completed,8,Finance,David,2025-03-01,2025-03-02,HIPAA,Patch Management,incident_log.txt,30,Application,1.0
C0462,Failed,2,IT,Brian,2025-03-07,2025-03-30,HIPAA,User Access Review,log_patch_001.pdf,7,Application,23.0
C0463,In Progress,3,Risk,Mark,2025-03-06,,HIPAA,Patch Management,log_patch_001.pdf,14,Admin System,
C0464,Failed,6,Operations,David,2025-02-20,2025-03-15,PCI-DSS,Incident Response,incident_log.txt,30,Application,23.0
C0465,In Progress,3,IT,Jane,2025-02-05,,HIPAA,User Access Review,firewall_config.png,30,Application,
C0466,Completed,6,Risk,Brian,2025-01-24,2025-02-06,HIPAA,Patch Management,access_review.xlsx,14,Application,13.0
C0467,Completed,6,Operations,Mary,2025-01-27,2025-02-03,PCI-DSS,Patch Management,access_review.xlsx,7,Admin System,7.0
C0468,In Progress,2,HR,David,2025-01-02,,HIPAA,Firewall Configuration,log_patch_001.pdf,14,Database,
C0469,Completed,7,IT,Brian,2025-01-31,2025-02-15,NIST,Incident Response,incident_log.txt,7,Database,15.0
C0470,In Progress,2,IT,David,2025-02-26,,NIST,Vulnerability Scan,vuln_scan_report.pdf,7,Application,
C0471,Completed,6,HR,David,2025-03-19,2025-03-31,HIPAA,Firewall Configuration,firewall_config.png,30,Database,12.0
C0472,In Progress,1,HR,Mark,2025-03-07,,PCI-DSS,User Access Review,log_patch_001.pdf,14,Database,
C0473,Completed,3,IT,Mark,2025-01-29,2025-01-30,NIST,Vulnerability Scan,access_review.xlsx,30,Admin System,1.0
C0474,In Progress,2,HR,Jane,2025-01-15,,PCI-DSS,Firewall Configuration,incident_log.txt,14,Admin System,
C0475,Failed,7,Finance,Brian,2025-01-12,2025-01-27,NIST,Incident Response,incident_log.txt,14,Application,15.0
C0476,In Progress,4,Operations,Brian,2025-01-28,,HIPAA,Encryption Control,log_patch_001.pdf,30,Application,
C0477,Completed,8,Operations,John,2025-03-25,2025-03-29,PCI-DSS,Encryption Control,vuln_scan_report.pdf,14,Application,4.0
C0478,Failed,6,Operations,David,2025-01-24,2025-02-06,PCI-DSS,User Access Review,access_review.xlsx,14,Admin System,13.0
C0479,In Progress,4,Finance,Alice,2025-01-21,,PCI-DSS,Encryption Control,log_patch_001.pdf,7,Database,
C0480,Failed,5,HR,David,2025-01-10,2025-02-02,NIST,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,23.0
C0481,Failed,9,Risk,David,2025-03-19,2025-03-24,NIST,User Access Review,incident_log.txt,14,Admin System,5.0
C0482,Failed,7,HR,Brian,2025-01-18,2025-01-20,NIST,Vulnerability Scan,firewall_config.png,30,Database,2.0
C0483,Completed,9,IT,David,2025-03-29,2025-04-21,HIPAA,Incident Response,access_review.xlsx,30,Database,23.0
C0484,Failed,7,Operations,Susan,2025-01-14,2025-01-15,NIST,User Access Review,access_review.xlsx,14,Application,1.0
C0485,Failed,1,HR,David,2025-02-03,2025-02-19,HIPAA,Vulnerability Scan,vuln_scan_report.pdf,7,Database,16.0
C0486,In Progress,8,Risk,Susan,2025-02-27,,PCI-DSS,User Access Review,log_patch_001.pdf,7,Database,
C0487,Completed,4,IT,Mark,2025-03-17,2025-04-09,PCI-DSS,Patch Management,incident_log.txt,30,Database,23.0
C0488,Completed,3,Finance,Alice,2025-01-22,2025-01-28,HIPAA,Patch Management,vuln_scan_report.pdf,14,Database,6.0
C0489,In Progress,7,Finance,Jane,2025-03-11,,NIST,User Access Review,firewall_config.png,14,Application,
C0490,In Progress,3,Risk,Brian,2025-02-05,,HIPAA,Encryption Control,firewall_config.png,7,Application,
C0491,Completed,8,IT,David,2025-02-14,2025-03-09,PCI-DSS,Patch Management,firewall_config.png,7,Database,23.0
C0492,Failed,6,Operations,Susan,2025-02-05,2025-02-21,PCI-DSS,Incident Response,vuln_scan_report.pdf,7,Database,16.0
C0493,Completed,5,HR,Susan,2025-01-22,2025-02-05,HIPAA,Vulnerability Scan,incident_log.txt,30,Application,14.0
C0494,Completed,4,IT,Mark,2025-03-19,2025-03-22,NIST,Firewall Configuration,access_review.xlsx,14,Application,3.0
C0495,Completed,8,Finance,Susan,2025-03-21,2025-04-05,NIST,Patch Management,log_patch_001.pdf,30,Database,15.0
C0496,Completed,8,Risk,Jane,2025-03-02,2025-03-05,HIPAA,User Access Review,access_review.xlsx,14,Admin System,3.0
C0497,Failed,1,Risk,Mary,2025-02-25,2025-03-20,HIPAA,Encryption Control,incident_log.txt,30,Application,23.0
C0498,Completed,9,HR,John,2025-03-30,2025-04-01,NIST,Firewall Configuration,access_review.xlsx,14,Application,2.0
C0499,In Progress,5,Risk,Jane,2025-02-02,,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,7,Application,
C0500,In Progress,4,Risk,Alice,2025-02-14,,HIPAA,Vulnerability Scan,firewall_config.png,7,Database,
C0501,Failed,6,IT,Jane,2025-02-05,2025-02-06,NIST,Patch Management,incident_log.txt,7,Database,1.0
C0502,Failed,6,Operations,Mark,2025-01-20,2025-01-29,NIST,Vulnerability Scan,incident_log.txt,30,Application,9.0
C0503,Completed,2,HR,Mark,2025-01-18,2025-01-27,PCI-DSS,Vulnerability Scan,access_review.xlsx,7,Database,9.0
C0504,In Progress,8,IT,Jane,2025-02-07,,PCI-DSS,Encryption Control,vuln_scan_report.pdf,14,Database,
C0505,Failed,7,Operations,David,2025-03-08,2025-03-31,PCI-DSS,Encryption Control,access_review.xlsx,30,Application,23.0
C0506,Completed,1,IT,Mary,2025-01-23,2025-01-30,PCI-DSS,Encryption Control,access_review.xlsx,14,Database,7.0
C0507,In Progress,5,IT,David,2025-01-16,,PCI-DSS,User Access Review,incident_log.txt,30,Admin System,
C0508,In Progress,6,Risk,David,2025-02-28,,HIPAA,Vulnerability Scan,access_review.xlsx,14,Database,
C0509,In Progress,4,Operations,Jane,2025-03-10,,NIST,Vulnerability Scan,firewall_config.png,14,Database,
C0510,In Progress,2,HR,Brian,2025-03-09,,HIPAA,Vulnerability Scan,access_review.xlsx,30,Application,
C0511,Failed,4,HR,Brian,2025-01-21,2025-01-24,HIPAA,Incident Response,firewall_config.png,30,Application,3.0
C0512,Completed,1,Operations,Brian,2025-03-19,2025-04-06,HIPAA,Encryption Control,incident_log.txt,7,Admin System,18.0
C0513,In Progress,7,Risk,Mary,2025-03-19,,HIPAA,Firewall Configuration,vuln_scan_report.pdf,7,Database,
C0514,In Progress,2,Finance,David,2025-03-11,,HIPAA,Patch Management,firewall_config.png,14,Admin System,
C0515,Completed,2,IT,John,2025-01-12,2025-01-23,PCI-DSS,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,11.0
C0516,Completed,9,Risk,Alice,2025-01-16,2025-01-23,PCI-DSS,User Access Review,vuln_scan_report.pdf,14,Application,7.0
C0517,Completed,5,Operations,Brian,2025-03-22,2025-03-31,NIST,User Access Review,firewall_config.png,30,Database,9.0
C0518,In Progress,2,IT,Brian,2025-03-28,,HIPAA,Vulnerability Scan,incident_log.txt,30,Application,
C0519,In Progress,9,HR,Mark,2025-01-14,,NIST,Firewall Configuration,log_patch_001.pdf,7,Admin System,
C0520,Completed,9,Finance,David,2025-03-02,2025-03-03,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,14,Admin System,1.0
C0521,Failed,1,HR,David,2025-03-12,2025-03-26,PCI-DSS,Incident Response,vuln_scan_report.pdf,7,Application,14.0
C0522,Completed,3,Operations,Mary,2025-02-15,2025-03-07,PCI-DSS,User Access Review,incident_log.txt,30,Application,20.0
C0523,In Progress,4,IT,Mary,2025-02-01,,HIPAA,User Access Review,incident_log.txt,30,Application,
C0524,In Progress,7,Operations,Brian,2025-01-15,,HIPAA,Firewall Configuration,access_review.xlsx,30,Application,
C0525,In Progress,4,IT,David,2025-02-13,,PCI-DSS,User Access Review,incident_log.txt,7,Application,
C0526,Completed,2,Risk,John,2025-01-17,2025-01-23,NIST,Incident Response,vuln_scan_report.pdf,30,Admin System,6.0
C0527,Completed,7,Finance,Alice,2025-02-10,2025-02-17,NIST,Incident Response,firewall_config.png,14,Application,7.0
C0528,Completed,6,Risk,Jane,2025-02-23,2025-03-05,PCI-DSS,Incident Response,log_patch_001.pdf,7,Database,10.0
C0529,Completed,3,Risk,David,2025-02-13,2025-02-20,NIST,Patch Management,access_review.xlsx,30,Admin System,7.0
C0530,In Progress,6,Operations,Mark,2025-01-05,,PCI-DSS,Incident Response,firewall_config.png,7,Admin System,
C0531,In Progress,6,Finance,Jane,2025-01-27,,NIST,Incident Response,log_patch_001.pdf,7,Database,
C0532,In Progress,5,IT,David,2025-03-28,,PCI-DSS,Patch Management,log_patch_001.pdf,30,Database,
C0533,In Progress,4,IT,Susan,2025-03-19,,NIST,Vulnerability Scan,log_patch_001.pdf,30,Admin System,
C0534,Failed,1,HR,Mary,2025-03-20,2025-03-22,HIPAA,Encryption Control,firewall_config.png,7,Application,2.0
C0535,In Progress,6,IT,Mark,2025-02-12,,PCI-DSS,User Access Review,access_review.xlsx,7,Admin System,
C0536,In Progress,2,Operations,Alice,2025-01-31,,PCI-DSS,Incident Response,access_review.xlsx,30,Admin System,
C0537,In Progress,3,Risk,Brian,2025-01-17,,NIST,User Access Review,log_patch_001.pdf,14,Database,
C0538,Completed,8,Risk,Mark,2025-03-24,2025-03-28,PCI-DSS,Firewall Configuration,firewall_config.png,7,Admin System,4.0
C0539,Completed,6,Risk,David,2025-02-23,2025-03-16,PCI-DSS,User Access Review,log_patch_001.pdf,7,Application,21.0
C0540,Completed,3,Finance,Brian,2025-03-03,2025-03-20,PCI-DSS,Vulnerability Scan,incident_log.txt,14,Database,17.0
C0541,In Progress,7,IT,David,2025-03-28,,HIPAA,Patch Management,access_review.xlsx,30,Admin System,
C0542,Failed,4,Operations,Brian,2025-02-01,2025-02-02,HIPAA,User Access Review,vuln_scan_report.pdf,30,Admin System,1.0
C0543,Completed,9,Finance,Alice,2025-02-09,2025-02-19,NIST,User Access Review,log_patch_001.pdf,14,Application,10.0
C0544,Failed,5,HR,Mary,2025-01-13,2025-02-01,HIPAA,User Access Review,incident_log.txt,30,Admin System,19.0
C0545,Failed,3,Operations,Alice,2025-03-25,2025-04-09,NIST,Encryption Control,access_review.xlsx,30,Admin System,15.0
C0546,Completed,2,Operations,Susan,2025-02-04,2025-02-14,HIPAA,Encryption Control,firewall_config.png,7,Admin System,10.0
C0547,Completed,2,Operations,John,2025-01-05,2025-01-24,NIST,Firewall Configuration,access_review.xlsx,7,Admin System,19.0
C0548,Failed,3,Risk,Mary,2025-03-14,2025-03-26,HIPAA,Patch Management,firewall_config.png,7,Application,12.0
C0549,Failed,2,Operations,Alice,2025-01-29,2025-02-22,HIPAA,User Access Review,firewall_config.png,14,Admin System,24.0
C0550,In Progress,4,IT,Susan,2025-03-11,,NIST,User Access Review,log_patch_001.pdf,30,Admin System,
C0551,Failed,2,Operations,John,2025-01-25,2025-02-10,PCI-DSS,User Access Review,log_patch_001.pdf,30,Admin System,16.0
C0552,In Progress,9,Risk,Susan,2025-01-22,,PCI-DSS,User Access Review,access_review.xlsx,7,Database,
C0553,Failed,2,Operations,David,2025-03-07,2025-03-16,HIPAA,Encryption Control,incident_log.txt,7,Application,9.0
C0554,Failed,9,HR,Jane,2025-02-14,2025-03-01,NIST,Vulnerability Scan,access_review.xlsx,14,Database,15.0
C0555,In Progress,6,HR,David,2025-03-10,,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,30,Database,
C0556,Completed,1,Risk,Brian,2025-03-30,2025-04-16,NIST,Firewall Configuration,firewall_config.png,14,Application,17.0
C0557,Completed,4,IT,Mary,2025-03-13,2025-03-27,PCI-DSS,Incident Response,firewall_config.png,30,Database,14.0
C0558,Completed,1,IT,David,2025-01-01,2025-01-19,NIST,Patch Management,log_patch_001.pdf,14,Database,18.0
C0559,In Progress,6,Finance,Mark,2025-03-25,,HIPAA,Vulnerability Scan,incident_log.txt,7,Database,
C0560,Failed,4,Risk,Susan,2025-02-13,2025-02-15,NIST,User Access Review,log_patch_001.pdf,14,Application,2.0
C0561,In Progress,3,Operations,Mary,2025-03-28,,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,14,Admin System,
C0562,Completed,3,Risk,Jane,2025-03-16,2025-03-20,HIPAA,Firewall Configuration,access_review.xlsx,7,Application,4.0
C0563,Completed,9,Finance,Mark,2025-02-08,2025-02-26,NIST,Incident Response,access_review.xlsx,30,Application,18.0
C0564,Completed,6,Risk,David,2025-02-23,2025-03-02,PCI-DSS,Vulnerability Scan,incident_log.txt,30,Application,7.0
C0565,Completed,9,Risk,Brian,2025-03-29,2025-04-11,HIPAA,Firewall Configuration,log_patch_001.pdf,7,Database,13.0
C0566,Failed,5,Finance,Alice,2025-03-16,2025-03-31,NIST,Encryption Control,log_patch_001.pdf,14,Admin System,15.0
C0567,Completed,2,IT,Brian,2025-01-29,2025-02-21,PCI-DSS,Incident Response,vuln_scan_report.pdf,14,Application,23.0
C0568,Completed,8,Operations,Mark,2025-02-23,2025-03-17,NIST,Firewall Configuration,access_review.xlsx,14,Application,22.0
C0569,In Progress,5,Finance,John,2025-03-31,,NIST,Vulnerability Scan,log_patch_001.pdf,30,Admin System,
C0570,Completed,2,HR,David,2025-01-16,2025-01-17,HIPAA,Encryption Control,incident_log.txt,14,Admin System,1.0
C0571,Failed,4,IT,Mark,2025-01-20,2025-01-31,HIPAA,Firewall Configuration,access_review.xlsx,30,Admin System,11.0
C0572,In Progress,9,HR,John,2025-02-15,,PCI-DSS,Firewall Configuration,vuln_scan_report.pdf,14,Database,
C0573,Completed,4,IT,John,2025-03-08,2025-03-18,HIPAA,Vulnerability Scan,incident_log.txt,7,Admin System,10.0
C0574,Failed,4,Operations,Susan,2025-03-06,2025-03-11,PCI-DSS,Incident Response,firewall_config.png,7,Database,5.0
C0575,In Progress,2,Operations,Mary,2025-02-27,,NIST,Encryption Control,vuln_scan_report.pdf,30,Application,
C0576,In Progress,6,Risk,Susan,2025-02-22,,NIST,User Access Review,incident_log.txt,30,Database,
C0577,Completed,2,HR,David,2025-01-01,2025-01-17,PCI-DSS,Patch Management,log_patch_001.pdf,7,Admin System,16.0
C0578,In Progress,7,IT,John,2025-03-22,,NIST,Incident Response,firewall_config.png,7,Database,
C0579,Completed,3,Operations,Jane,2025-03-07,2025-03-18,HIPAA,Encryption Control,vuln_scan_report.pdf,14,Admin System,11.0
C0580,Completed,3,Finance,Mark,2025-01-29,2025-02-19,NIST,Firewall Configuration,log_patch_001.pdf,7,Database,21.0
C0581,Completed,5,Operations,Alice,2025-03-25,2025-03-31,HIPAA,Encryption Control,firewall_config.png,30,Application,6.0
C0582,In Progress,3,Finance,John,2025-03-11,,PCI-DSS,Patch Management,access_review.xlsx,7,Database,
C0583,Completed,2,IT,Mark,2025-01-08,2025-01-17,PCI-DSS,Vulnerability Scan,log_patch_001.pdf,30,Application,9.0
C0584,Completed,9,Operations,Jane,2025-01-29,2025-02-11,NIST,Patch Management,incident_log.txt,30,Admin System,13.0
C0585,Failed,2,Operations,Alice,2025-02-20,2025-03-16,NIST,User Access Review,vuln_scan_report.pdf,14,Application,24.0
C0586,Completed,2,IT,Susan,2025-02-02,2025-02-10,HIPAA,User Access Review,firewall_config.png,14,Admin System,8.0
C0587,Completed,8,Operations,Susan,2025-01-03,2025-01-17,HIPAA,Patch Management,log_patch_001.pdf,14,Admin System,14.0
C0588,Completed,9,Finance,Mary,2025-03-01,2025-03-25,NIST,Incident Response,access_review.xlsx,14,Application,24.0
C0589,Completed,7,Operations,Mark,2025-02-04,2025-02-05,NIST,Incident Response,vuln_scan_report.pdf,7,Application,1.0
C0590,Completed,3,HR,John,2025-03-10,2025-03-27,PCI-DSS,Firewall Configuration,vuln_scan_report.pdf,14,Database,17.0
C0591,Completed,9,Risk,Brian,2025-03-17,2025-04-10,PCI-DSS,User Access Review,log_patch_001.pdf,7,Database,24.0
C0592,Failed,3,Finance,Susan,2025-03-25,2025-03-30,PCI-DSS,Firewall Configuration,access_review.xlsx,14,Application,5.0
C0593,Completed,5,HR,Susan,2025-01-20,2025-01-22,NIST,User Access Review,firewall_config.png,14,Application,2.0
C0594,Completed,9,IT,Mary,2025-03-14,2025-04-07,NIST,Patch Management,log_patch_001.pdf,30,Application,24.0
C0595,In Progress,3,Finance,Alice,2025-02-08,,NIST,Incident Response,firewall_config.png,7,Application,
C0596,Completed,7,Risk,Mary,2025-01-04,2025-01-13,PCI-DSS,Incident Response,vuln_scan_report.pdf,30,Admin System,9.0
C0597,Failed,1,Risk,Jane,2025-01-19,2025-01-23,NIST,Patch Management,firewall_config.png,14,Application,4.0
C0598,Completed,4,IT,John,2025-02-14,2025-03-03,HIPAA,Firewall Configuration,access_review.xlsx,7,Application,17.0
C0599,Completed,4,IT,Mark,2025-02-12,2025-03-01,NIST,Firewall Configuration,incident_log.txt,14,Application,17.0
C0600,Completed,7,Finance,David,2025-01-13,2025-02-03,NIST,Encryption Control,access_review.xlsx,30,Application,21.0
C0601,Completed,8,Operations,David,2025-01-13,2025-01-31,NIST,User Access Review,firewall_config.png,7,Admin System,18.0
C0602,Completed,1,IT,Mark,2025-03-01,2025-03-17,NIST,Firewall Configuration,log_patch_001.pdf,30,Database,16.0
C0603,Completed,5,Operations,Alice,2025-02-26,2025-03-06,NIST,Patch Management,vuln_scan_report.pdf,14,Database,8.0
C0604,Completed,7,HR,Jane,2025-03-27,2025-04-07,HIPAA,Firewall Configuration,incident_log.txt,14,Database,11.0
C0605,Completed,4,Risk,Susan,2025-02-21,2025-03-14,HIPAA,Incident Response,log_patch_001.pdf,14,Database,21.0
C0606,Completed,4,Operations,Alice,2025-02-22,2025-03-15,NIST,User Access Review,log_patch_001.pdf,7,Database,21.0
C0607,Completed,4,Risk,Susan,2025-03-27,2025-04-14,PCI-DSS,Vulnerability Scan,access_review.xlsx,30,Admin System,18.0
C0608,Completed,6,Operations,Susan,2025-02-12,2025-03-07,NIST,Encryption Control,firewall_config.png,30,Database,23.0
C0609,Failed,7,HR,David,2025-03-24,2025-04-17,NIST,User Access Review,access_review.xlsx,14,Admin System,24.0
C0610,Failed,2,IT,Alice,2025-03-13,2025-03-23,NIST,Incident Response,firewall_config.png,30,Admin System,10.0
C0611,Completed,5,HR,Jane,2025-03-13,2025-03-26,PCI-DSS,Incident Response,access_review.xlsx,7,Database,13.0
C0612,In Progress,4,IT,Mary,2025-02-11,,PCI-DSS,Incident Response,log_patch_001.pdf,14,Database,
C0613,Failed,3,IT,Susan,2025-03-31,2025-04-17,PCI-DSS,Incident Response,vuln_scan_report.pdf,14,Database,17.0
C0614,Completed,7,Risk,Brian,2025-01-26,2025-02-13,HIPAA,Patch Management,firewall_config.png,14,Application,18.0
C0615,In Progress,6,HR,Brian,2025-01-23,,PCI-DSS,Encryption Control,incident_log.txt,7,Admin System,
C0616,In Progress,7,Operations,Mary,2025-02-12,,HIPAA,Vulnerability Scan,incident_log.txt,14,Database,
C0617,Completed,5,HR,Brian,2025-03-18,2025-03-28,HIPAA,Incident Response,log_patch_001.pdf,14,Application,10.0
C0618,Completed,6,Risk,John,2025-01-28,2025-02-13,PCI-DSS,Incident Response,access_review.xlsx,14,Admin System,16.0
C0619,In Progress,5,IT,Susan,2025-01-09,,PCI-DSS,Firewall Configuration,access_review.xlsx,14,Application,
C0620,In Progress,7,Risk,Mary,2025-01-20,,PCI-DSS,Encryption Control,log_patch_001.pdf,30,Application,
C0621,Completed,2,Finance,Alice,2025-02-25,2025-03-17,HIPAA,User Access Review,incident_log.txt,14,Database,20.0
C0622,Completed,5,Finance,Susan,2025-03-24,2025-03-29,NIST,Encryption Control,incident_log.txt,7,Admin System,5.0
C0623,Completed,6,Operations,Mary,2025-02-08,2025-02-21,PCI-DSS,Encryption Control,access_review.xlsx,14,Application,13.0
C0624,Completed,6,Risk,David,2025-02-20,2025-03-10,PCI-DSS,Vulnerability Scan,firewall_config.png,14,Admin System,18.0
C0625,Failed,5,Operations,Jane,2025-01-12,2025-01-29,PCI-DSS,Encryption Control,vuln_scan_report.pdf,30,Database,17.0
C0626,Completed,7,Operations,Alice,2025-03-20,2025-03-29,HIPAA,Vulnerability Scan,firewall_config.png,14,Admin System,9.0
C0627,Completed,8,Finance,Jane,2025-02-24,2025-03-10,HIPAA,Incident Response,incident_log.txt,30,Application,14.0
C0628,In Progress,7,Operations,David,2025-03-19,,NIST,Incident Response,firewall_config.png,7,Application,
C0629,Completed,5,Finance,Susan,2025-01-11,2025-01-28,PCI-DSS,Patch Management,vuln_scan_report.pdf,30,Admin System,17.0
C0630,Completed,1,IT,Alice,2025-01-26,2025-01-30,HIPAA,Vulnerability Scan,firewall_config.png,14,Application,4.0
C0631,In Progress,5,Risk,Jane,2025-02-11,,NIST,Vulnerability Scan,firewall_config.png,7,Application,
C0632,In Progress,2,Operations,Brian,2025-01-27,,PCI-DSS,User Access Review,firewall_config.png,14,Application,
C0633,Failed,5,Finance,Jane,2025-01-11,2025-01-29,HIPAA,Firewall Configuration,firewall_config.png,30,Database,18.0
C0634,Failed,5,HR,Mary,2025-02-07,2025-02-27,PCI-DSS,Encryption Control,log_patch_001.pdf,7,Database,20.0
C0635,Completed,2,Operations,Susan,2025-02-12,2025-03-08,PCI-DSS,User Access Review,incident_log.txt,7,Application,24.0
C0636,Completed,5,IT,John,2025-01-19,2025-02-12,HIPAA,Vulnerability Scan,vuln_scan_report.pdf,30,Admin System,24.0
C0637,Failed,4,IT,Jane,2025-03-05,2025-03-20,HIPAA,User Access Review,incident_log.txt,30,Database,15.0
C0638,Completed,1,HR,Alice,2025-01-06,2025-01-17,HIPAA,Patch Management,log_patch_001.pdf,7,Admin System,11.0
C0639,Completed,3,Finance,Alice,2025-02-15,2025-02-27,PCI-DSS,Firewall Configuration,log_patch_001.pdf,7,Application,12.0
C0640,Completed,1,Operations,Mark,2025-02-11,2025-02-20,PCI-DSS,Vulnerability Scan,log_patch_001.pdf,30,Application,9.0
C0641,Completed,5,Finance,Jane,2025-03-06,2025-03-19,NIST,Vulnerability Scan,log_patch_001.pdf,14,Admin System,13.0
C0642,Completed,4,IT,Susan,2025-03-13,2025-03-28,PCI-DSS,Encryption Control,firewall_config.png,7,Database,15.0
C0643,Completed,7,Finance,Susan,2025-02-28,2025-03-15,HIPAA,Firewall Configuration,incident_log.txt,30,Admin System,15.0
C0644,Completed,5,IT,David,2025-02-21,2025-02-26,PCI-DSS,Patch Management,access_review.xlsx,14,Admin System,5.0
C0645,Completed,4,Finance,Mark,2025-02-16,2025-03-11,NIST,Incident Response,vuln_scan_report.pdf,7,Application,23.0
C0646,In Progress,2,HR,Jane,2025-01-07,,NIST,User Access Review,log_patch_001.pdf,7,Database,
C0647,Failed,4,Risk,Brian,2025-01-11,2025-01-30,HIPAA,Encryption Control,incident_log.txt,30,Admin System,19.0
C0648,Failed,2,HR,David,2025-03-02,2025-03-22,HIPAA,Vulnerability Scan,log_patch_001.pdf,14,Database,20.0
C0649,In Progress,8,HR,Mark,2025-03-09,,NIST,Incident Response,log_patch_001.pdf,7,Application,
C0650,Completed,3,Risk,Jane,2025-01-25,2025-02-08,NIST,Patch Management,log_patch_001.pdf,14,Database,14.0
C0651,Completed,9,Risk,Jane,2025-01-12,2025-01-29,NIST,Firewall Configuration,log_patch_001.pdf,14,Application,17.0
C0652,Failed,4,Operations,David,2025-01-26,2025-02-13,HIPAA,User Access Review,log_patch_001.pdf,7,Database,18.0
C0653,Failed,6,Operations,Brian,2025-01-12,2025-02-02,NIST,Encryption Control,vuln_scan_report.pdf,14,Admin System,21.0
C0654,In Progress,5,HR,Mark,2025-02-12,,NIST,Vulnerability Scan,incident_log.txt,7,Application,
C0655,Completed,1,HR,Jane,2025-02-20,2025-02-23,HIPAA,Vulnerability Scan,log_patch_001.pdf,14,Admin System,3.0
C0656,Completed,9,IT,Jane,2025-02-06,2025-02-08,PCI-DSS,Incident Response,log_patch_001.pdf,7,Application,2.0
C0657,Completed,1,IT,Mark,2025-02-15,2025-02-16,PCI-DSS,Incident Response,log_patch_001.pdf,30,Database,1.0
C0658,Completed,8,Operations,John,2025-02-22,2025-03-04,NIST,User Access Review,log_patch_001.pdf,7,Database,10.0
C0659,Failed,9,Operations,David,2025-03-29,2025-04-17,PCI-DSS,Firewall Configuration,firewall_config.png,7,Application,19.0
C0660,Failed,9,IT,David,2025-03-21,2025-04-07,PCI-DSS,Patch Management,firewall_config.png,7,Application,17.0
C0661,Completed,1,IT,Alice,2025-01-13,2025-01-25,PCI-DSS,Firewall Configuration,access_review.xlsx,14,Application,12.0
C0662,In Progress,2,Finance,Brian,2025-03-30,,PCI-DSS,Firewall Configuration,log_patch_001.pdf,30,Database,
C0663,Failed,1,Finance,Mary,2025-02-23,2025-02-24,NIST,Firewall Configuration,access_review.xlsx,14,Application,1.0
C0664,Completed,2,IT,John,2025-02-26,2025-03-10,PCI-DSS,User Access Review,vuln_scan_report.pdf,14,Application,12.0
C0665,Completed,8,Finance,Mark,2025-01-04,2025-01-21,PCI-DSS,User Access Review,access_review.xlsx,7,Admin System,17.0
C0666,Completed,5,Risk,Mark,2025-03-16,2025-04-09,HIPAA,Patch Management,incident_log.txt,14,Application,24.0
C0667,Completed,7,Operations,Mark,2025-02-18,2025-02-21,NIST,Firewall Configuration,firewall_config.png,7,Admin System,3.0
C0668,Completed,2,Operations,John,2025-01-07,2025-01-18,HIPAA,User Access Review,firewall_config.png,30,Admin System,11.0
C0669,Completed,8,IT,Jane,2025-01-11,2025-01-28,HIPAA,Patch Management,log_patch_001.pdf,14,Admin System,17.0
C0670,Completed,6,HR,Mark,2025-02-23,2025-03-18,NIST,Vulnerability Scan,log_patch_001.pdf,14,Database,23.0
C0671,Completed,8,IT,Mark,2025-03-28,2025-03-31,PCI-DSS,Patch Management,vuln_scan_report.pdf,14,Admin System,3.0
C0672,In Progress,1,Finance,Brian,2025-02-14,,HIPAA,Firewall Configuration,vuln_scan_report.pdf,7,Application,
C0673,Completed,1,HR,Susan,2025-01-23,2025-01-31,NIST,Encryption Control,incident_log.txt,7,Database,8.0
C0674,Failed,7,Finance,Susan,2025-01-28,2025-02-17,PCI-DSS,Firewall Configuration,log_patch_001.pdf,14,Database,20.0
C0675,Completed,8,Risk,Alice,2025-02-26,2025-03-02,NIST,Encryption Control,log_patch_001.pdf,14,Database,4.0
C0676,In Progress,3,Finance,Alice,2025-01-26,,HIPAA,Patch Management,vuln_scan_report.pdf,30,Database,
